page,selector,sample_text,px,weight,is_large_text,threshold,fg,bg_sampled,ratio,verdict,method
https://eyalamit-co-il-2026.s887.upress.link/,nav.nav>ul.nav__l>li>a.nav__dd,טיפול בדיג׳רידו▾,18.36,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(82,64,45)",7.264,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,ul.nav__l>li>a.nav__dd>span.nav__caret,▾,11.02,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(52,38,25)",10.282,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,nav.nav>ul.nav__l>li>a,השיטה,18.36,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(67,51,33)",8.718,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,nav.nav>ul.nav__l>li>a,שיעורי דיג׳רידו,18.36,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(65,51,37)",8.762,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,nav.nav>ul.nav__l>li>a,סאונד הילינג,18.36,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(66,53,37)",8.575,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,nav.nav>ul.nav__l>li>button.nav__dd,לימוד והכשרה▾,18.36,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(27,21,18)",12.315,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,ul.nav__l>li>button.nav__dd>span.nav__caret,▾,11.02,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(26,20,17)",12.406,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,nav.nav>ul.nav__l>li>a.nav__dd,כלים ואביזרים▾,18.36,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(28,23,19)",12.157,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,ul.nav__l>li>a.nav__dd>span.nav__caret,▾,11.02,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(27,21,17)",12.321,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
https://eyalamit-co-il-2026.s887.upress.link/,nav.nav>ul.nav__l>li>a.nav__dd,ספרים▾,18.36,400,False,4.5,"rgb(255,255,255) a=0.82","rgb(28,22,20)",12.216,PASS,"backdrop-only screenshot (text ink hidden via color:transparent), 4x4 grid sample per element, darkest-vs-lightest kept, WCAG relative-luminance ratio against the worse extreme"
